,unit,na_item,geo,time,value
67,"Chain linked volumes (2005), million euro","Value added, gross",Germany (until 1990 former territory of the FRG),2017,2513173.3
68,"Chain linked volumes (2005), million euro","Value added, gross",Germany (until 1990 former territory of the FRG),2018,2550572.4
69,"Chain linked volumes (2005), million euro","Value added, gross",Germany (until 1990 former territory of the FRG),2019,2562319.6
70,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2010,183751.9
71,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2011,186593.6
72,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2012,187000.9
73,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2013,188719.7
74,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2014,191638.4
75,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2015,195803.8
76,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2016,202021.6
77,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2017,206067.8
78,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2018,210936.9
79,"Chain linked volumes (2005), million euro","Value added, gross",Denmark,2019,215932.0
80,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2010,7900407.8
81,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2011,8049143.4
82,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2012,7989856.4
83,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2013,7977666.8
84,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2014,8102540.9
85,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2015,8286730.4
86,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2016,8437936.0
87,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2017,8653552.6
88,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2018,8822309.8
89,"Chain linked volumes (2005), million euro","Value added, gross","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2019,8928487.7
90,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2010,7806038.9
91,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2011,7942822.2
92,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2012,7882426.4
93,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2013,7870851.6
94,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2014,7979242.1
95,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2015,8133899.1
96,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2016,8280589.0
97,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2017,8489356.4
98,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2018,8650664.8
99,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 12 countries (2001-2006),2019,8751359.4
100,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2010,7941436.6
101,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2011,8082565.8
102,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2012,8024887.1
103,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2013,8013991.3
104,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2014,8126576.7
105,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2015,8286730.4
106,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2016,8437936.0
107,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2017,8653552.6
108,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2018,8822309.8
109,"Chain linked volumes (2005), million euro","Value added, gross",Euro area - 19 countries  (from 2015),2019,8928487.7
110,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2010,10099.4
111,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2011,10869.1
112,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2012,11158.9
113,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2013,11285.4
114,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2014,11598.1
115,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2015,11792.5
116,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2016,12040.0
117,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2017,12845.4
118,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2018,13504.1
119,"Chain linked volumes (2005), million euro","Value added, gross",Estonia,2019,14037.5
120,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2010,174340.6
121,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2011,158646.7
122,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2012,148426.2
123,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2013,144485.2
124,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2014,145151.8
125,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2015,144219.8
126,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2016,142746.7
127,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2017,145658.9
128,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2018,148229.4
129,"Chain linked volumes (2005), million euro","Value added, gross",Greece,2019,149591.8
130,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2010,883821.9
131,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2011,879977.2
132,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2012,854564.2
133,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2013,843539.7
134,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2014,851496.9
135,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2015,879365.2
136,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2016,904125.7
137,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2017,930313.4
138,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2018,953325.0
139,"Chain linked volumes (2005), million euro","Value added, gross",Spain,2019,974223.7
140,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2010,10183402.1
141,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2011,10367908.7
142,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2012,10327868.5
143,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2013,10359973.8
144,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2014,10528783.2
145,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2015,10745602.7
146,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2016,10946068.7
147,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2017,11210835.2
148,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2018,11414823.4
149,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 15 countries (1995-2004),2019,11556045.6
150,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2010,9034202.2
151,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2011,9208644.8
152,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2012,9153943.3
153,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2013,9158465.9
154,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2014,9305213.5
155,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2015,9509657.6
156,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2016,9696849.5
157,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2017,9961364.1
158,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2018,10177150.0
159,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 27 countries (from 2020),2019,10324121.1
160,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2010,10925037.2
161,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2011,11134124.9
162,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2012,11101056.8
163,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2013,11143594.6
164,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2014,11338640.3
165,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2015,11586898.9
166,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2016,11814528.3
167,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2017,12122595.8
168,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2018,12369231.6
169,"Chain linked volumes (2005), million euro","Value added, gross",European Union - 28 countries (2013-2020),2019,12547282.1
170,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2010,150749.7
171,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2011,153627.2
172,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2012,150704.0
173,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2013,149115.6
174,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2014,148656.9
175,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2015,149246.5
176,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2016,152931.4
177,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2017,158386.9
178,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2018,160699.5
179,"Chain linked volumes (2005), million euro","Value added, gross",Finland,2019,162479.2
180,"Chain linked volumes (2005), million euro","Value added, gross",France,2010,1659876.7
181,"Chain linked volumes (2005), million euro","Value added, gross",France,2011,1697035.1
182,"Chain linked volumes (2005), million euro","Value added, gross",France,2012,1706620.9
183,"Chain linked volumes (2005), million euro","Value added, gross",France,2013,1717192.3
184,"Chain linked volumes (2005), million euro","Value added, gross",France,2014,1736280.1
185,"Chain linked volumes (2005), million euro","Value added, gross",France,2015,1751958.8
186,"Chain linked volumes (2005), million euro","Value added, gross",France,2016,1768921.3
187,"Chain linked volumes (2005), million euro","Value added, gross",France,2017,1806410.4
188,"Chain linked volumes (2005), million euro","Value added, gross",France,2018,1838517.4
189,"Chain linked volumes (2005), million euro","Value added, gross",France,2019,1862393.6
190,"Chain linked volumes (2005), million euro","Value added, gross",Croatia,2010,31664.2
191,"Chain linked volumes (2005), million euro","Value added, gross",Croatia,2011,31676.2
192,"Chain linked volumes (2005), million euro","Value added, gross",Croatia,2012,30635.1
193,"Chain linked volumes (2005), million euro","Value added, gross",Croatia,2013,30371.0
194,"Chain linked volumes (2005), million euro","Value added, gross",Croatia,2014,30397.1
195,"Chain linked volumes (2005), million euro","Value added, gross",Croatia,2015,31085.0
