0.0,80.0,3.1515,17.63,1649.6,94.29899999999999,508.55,1165.87
0.0,77.18,3.117,17.69,1666.5,94.29899999999999,514.1,1128.15
0.0,75.1,3.1445,17.7,1665.8,94.29899999999999,510.2,1110.88
0.0,76.89,3.228,18.46,1693.5,94.29899999999999,524.5,1159.73
0.0,76.37,3.2065,18.42,1700.8,94.29899999999999,532.2,1155.79
0.0,75.65,3.188,19.59,1747.3,94.29899999999999,547.45,1171.67
0.0,74.38,3.2315,19.43,1739.4,94.29899999999999,543.3,1157.44
0.0,71.61,3.134,19.64,1715.4,94.29899999999999,527.9,1135.68
0.0,70.08,2.932,19.11,1663.2,94.29899999999999,503.6,1136.94
0.0,69.38,3.031,18.82,1690.5,94.29899999999999,507.0,1120.8
0.0,69.91,2.9595,18.53,1605.7,94.29899999999999,459.7,1115.05
0.0,68.28,2.9445,17.93,1495.8,94.29899999999999,408.95,1071.59
0.0,68.03,3.061,17.72,1501.2,94.29899999999999,439.45,1087.69
0.0,68.23,3.1475,17.78,1534.5,94.29899999999999,453.55,1073.65
0.0,64.78,3.042,17.63,1491.9,94.29899999999999,430.78,1074.03
0.0,71.52,3.0805,18.27,1530.3,94.29899999999999,447.21,1067.95
0.0,74.56,3.1585,18.36,1552.9,94.29899999999999,463.93,1103.06
0.0,74.0,3.1045,18.53,1549.4,94.29899999999999,463.13,1089.41
0.0,72.7,3.063,18.3,1549.4,94.432,462.15,1070.71
0.0,72.88,3.0405,18.43,1550.4,94.432,453.3,1098.38
0.0,74.62,2.9465,18.27,1542.9,94.432,450.8,1102.83
0.0,71.43,2.8195,17.76,1525.3,94.432,431.0,1064.88
0.0,71.55,2.766,17.36,1517.3,94.432,430.35,1050.47
0.0,71.88,2.7795,18.34,1528.8,94.432,442.15,1062.0
0.0,74.38,2.85,18.27,1534.0,94.432,455.25,1055.69
0.0,75.48,2.8625,17.98,1536.2,94.432,449.3,1086.84
0.0,73.89,2.904,18.31,1535.0,94.432,448.55,1091.6
0.0,74.99,2.992,18.43,1563.4,94.432,462.6,1089.63
0.0,76.84,3.0045,18.42,1578.0,94.432,475.55,1115.23
0.0,77.67,2.9955,18.51,1567.5,94.432,475.2,1114.61
0.0,76.82,2.9055,18.5,1572.0,94.432,481.25,1116.04
0.0,77.18,2.884,18.77,1587.0,94.432,491.4,1117.51
0.0,77.84,2.942,19.37,1590.3,94.432,495.45,1113.2
0.0,77.15,2.992,18.625,1593.0,94.432,489.95,1095.31
0.0,75.9,2.9355,18.91,1567.0,94.432,474.35,1092.04
0.0,75.96,3.0055,18.38,1561.5,94.432,470.0,1073.69
0.0,78.45,3.0986,18.65,1571.22,94.432,477.9,1076.76
0.0,78.26,3.0787,19.11,1567.52,94.432,472.45,1074.57
0.0,75.93,2.9245,18.57,1552.3,94.432,454.4,1041.24
0.0,75.59,2.9476,18.74,1536.02,94.432,444.4,1030.71
0.0,72.95,2.877,18.65,1506.8,94.836,429.05,1027.37
0.0,72.06,2.916,17.98,1503.6,94.836,426.9,1022.58
0.0,71.96,2.971,17.85,1518.7,94.836,440.4,1028.06
0.0,74.05,3.015,17.65,1526.4,94.836,442.35,1060.27
0.0,75.46,3.0155,18.0,1516.4,94.836,444.4,1070.25
0.0,76.08,3.0535,17.87,1533.2,94.836,456.95,1077.96
0.0,74.93,3.009,18.06,1515.3,94.836,454.15,1078.75
0.0,77.16,3.0175,18.0,1535.4,94.836,469.15,1095.34
0.0,77.02,3.0085,18.29,1520.6,94.836,465.8,1095.17
0.0,76.67,3.012,18.42,1533.7,94.836,467.2,1096.48
0.0,75.96,2.9295,18.25,1512.1,94.836,448.6,1064.88
0.0,76.53,2.938,17.78,1513.1,94.836,443.9,1071.25
0.0,77.32,3.0015,17.55,1517.8,94.836,451.05,1083.48
0.0,76.27,3.093,17.88,1529.8,94.836,452.15,1069.59
0.0,79.01,3.1645,17.82,1529.4,94.836,456.9,1093.67
0.0,78.68,3.185,18.17,1542.8,94.836,466.75,1102.66
0.0,78.93,3.223,18.01,1555.8,94.836,475.0,1115.01
0.0,77.46,3.2065,18.16,1536.7,94.836,466.55,1113.84
0.0,77.06,3.2455,17.63,1541.7,94.836,468.75,1106.13
0.0,78.3,3.29,17.6,1563.4,94.836,491.2,1101.53
0.0,78.85,3.3115,17.66,1576.8,94.836,500.0,1101.6
0.0,81.25,3.3895,18.11,1602.2,95.14200000000001,515.85,1125.86
0.0,82.52,3.3585,18.42,1587.1,95.14200000000001,506.45,1120.46
0.0,82.49,3.4045,18.5,1586.2,95.14200000000001,500.15,1127.24
0.0,82.0,3.3535,18.35,1572.5,95.14200000000001,496.05,1125.81
0.0,80.67,3.343,18.3,1570.8,95.14200000000001,487.6,1121.64
0.0,81.46,3.354,18.48,1542.9,95.14200000000001,479.65,1127.79
0.0,80.24,3.3125,18.09,1537.0,95.14200000000001,470.6,1121.06
0.0,78.09,3.254,18.12,1520.6,95.14200000000001,464.7,1089.47
